record_id,precipitation_type
202152,None
208159,None
207601,None
215953,None
219878,None
218432,None
221697,None
236635,None
207369,None
204371,None
201589,None
205958,None
200220,None
200219,Snow
203756,None
204061,None
202604,None
201044,None
202254,None
205346,None
201610,Fog
202454,None
201013,None
205771,None
202226,None
204404,None
202138,None
201983,Rain
200247,None
201387,None
200542,None
202076,None
204836,None
203390,None
203936,None
203938,None
200130,None
201705,None
201770,None
201506,None
201524,None
207027,None
4064,None
202816,None
200828,None
203262,None
200681,None
202210,None
202062,None
200155,None
202836,None
204057,Rain
201230,None
205954,None
201585,None
201990,None
202887,None
200068,None
209758,None
200785,None
201283,None
7379,None
200893,Rain
203391,None
207700,None
201771,None
203389,None
203333,None
202886,Fog
201053,None
203804,None
202701,None
202151,None
205305,None
203483,None
204287,None
200031,None
201214,None
201505,None
204115,None
202139,Rain
203968,None
202994,None
202602,None
201414,None
203143,None
203243,None
204609,None
201335,None
202613,None
200807,None
202419,None
200696,None
200108,None
203355,None
202117,None
202204,None
205917,None
204602,None
205350,None
203335,None
204308,Rain
200758,None
204677,Rain
205312,None
206984,None
203849,None
203187,None
205741,None
203630,None
203455,None
202567,None
202382,None
200793,None
205461,None
203512,None
201322,None
203160,Rain
201114,Rain
202199,None
201407,None
200672,Rain
208831,None
201896,None
204264,None
204225,None
202482,None
202464,None
200732,None
208561,None
203380,None
200698,None
200664,None
200794,None
204415,None
207534,None
201872,None
204521,None
201139,None
200375,None
205933,None
202578,None
203634,None
201828,None
200783,None
202035,None
200560,None
204413,None
202289,Fog
202074,Fog
202788,Rain
206920,None
202461,None
205207,None
201570,None
204351,None
202351,None
204272,None
201340,None
204571,None
208477,None
200193,None
202764,None
206860,None
200625,None
200867,None
203468,None
200147,None
202797,None
205344,None
200688,None
204695,None
205168,None
200931,None
213893,None
206536,None
200479,None
214147,None
202348,None
200048,None
200403,Rain
202758,Rain
204244,Fog
201960,None
206581,None
205661,None
204994,None
208027,None
200477,None
205270,Fog
206599,Rain
204605,None
209019,None
203507,None
206675,None
208274,None
205535,None
204007,None
203497,None
204236,None
205876,None
204191,None
204441,None
206406,Rain
203254,Rain
206018,None
208957,None
200641,Fog
206414,None
205559,None
208033,Snow
5401,None
203050,None
208821,None
202477,None
206885,None
205078,None
4978,None
208354,None
205670,None
200949,None
4964,None
205109,Rain
205904,Snow
209896,None
203784,Rain
209050,None
201316,None
204637,None
207692,None
206418,None
201929,None
207669,Rain
209401,None
205491,None
203661,None
207968,None
207182,None
5026,Rain
210048,None
207068,Rain
200510,None
212461,None
4469,None
212906,None
207835,None
203883,None
200567,None
5245,None
203066,None
207360,None
206621,None
204178,Snow
209773,None
202780,Fog
206163,None
206943,Fog
210557,Rain
6955,None
210390,None
209544,Rain
209264,None
205481,None
201737,None
208492,None
206240,None
206239,None
206706,Rain
205030,None
200321,None
211303,None
202798,Rain
210599,None
206608,Rain
210461,None
207300,Rain
209266,None
203023,None
212723,None
208857,None
209813,None
211775,None
203423,None
209113,None
206021,Fog
210343,Fog
3504,None
207259,None
205603,None
210658,None
210055,None
207077,None
207563,None
214259,None
209020,None
208151,None
205386,None
208558,None
6465,None
209067,None
203413,None
209857,None
